                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6984,                 1.7692,                 1.0659,                0.64168,                0.36623,                0.41623,                 0.2131,                 1.7524,                 1.3812,                 1.0755,             0.00065686,             0.00065686,             0.00065686
                      2,                   1.65,                 1.2196,                 1.0654,                0.16113,                0.14649,                0.04396,                0.02259,                 2.0734,                 4.0993,                 1.1458,              0.0013104,              0.0013104,              0.0013104
                      3,                  1.632,                 1.1651,                 1.0749,                0.50966,                0.19699,                0.21605,                 0.1205,                 1.9645,                 2.0625,                  1.213,              0.0019508,              0.0019508,              0.0019508
                      4,                 1.5919,                 1.1922,                 1.0669,                0.66126,                0.38319,                0.43592,                0.23661,                  1.684,                 1.2512,                 1.0701,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5962,                 1.1378,                 1.0625,                0.65364,                0.37008,                0.43768,                0.23766,                 1.6304,                 1.2435,                 1.0392,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6225,                 1.1446,                 1.0548,                0.64551,                0.38782,                0.43969,                0.24345,                 1.6749,                 1.2021,                 1.0558,               0.001901,               0.001901,               0.001901
                      7,                 1.5199,                 1.0592,                 1.0412,                0.62975,                0.40915,                 0.4658,                0.25639,                 1.5947,                 1.1689,                 1.0537,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5749,                 1.0888,                 1.0587,                0.68207,                0.43171,                0.49044,                0.27853,                 1.5393,                 1.1003,                 1.0266,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.501,                 1.0074,                  1.024,                0.65362,                0.40591,                0.46553,                0.26223,                 1.5776,                 1.1257,                 1.0262,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4583,                 1.0044,                 1.0265,                0.63366,                0.42328,                 0.4799,                0.27066,                 1.5425,                 1.1021,                 1.0161,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4606,                0.99352,                 1.0174,                0.72011,                0.42444,                0.49917,                0.28259,                 1.5142,                 1.0515,                 1.0197,               0.001802,               0.001802,               0.001802
                     12,                 1.4242,                0.97419,                 1.0142,                0.67725,                0.44796,                0.50761,                0.28836,                  1.494,                 1.0662,                 1.0152,              0.0017822,              0.0017822,              0.0017822
                     13,                   1.42,                0.95329,                 1.0173,                0.69949,                 0.4388,                0.50118,                0.28286,                 1.5499,                   1.07,                 1.0232,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4008,                0.94146,                 1.0062,                0.69903,                0.42675,                0.50209,                0.29118,                 1.5266,                 1.0623,                 1.0167,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4351,                0.97634,                 1.0153,                  0.703,                 0.4453,                0.51506,                0.29781,                 1.4804,                  1.024,                 1.0096,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3853,                0.92531,                 1.0011,                0.72127,                0.43594,                0.50806,                0.29447,                 1.5072,                 1.0189,                 1.0114,               0.001703,               0.001703,               0.001703
                     17,                 1.3775,                0.91654,                0.99874,                0.71199,                0.44697,                0.52214,                0.29695,                 1.4758,                 1.0061,                 1.0015,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3988,                0.92963,                 1.0059,                0.68888,                0.46007,                0.51871,                0.29803,                   1.47,                 1.0086,                 0.9956,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3655,                  0.898,                0.98739,                0.73119,                0.43177,                0.51989,                0.29945,                 1.4401,                  1.046,                0.99097,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3614,                0.90284,                0.99288,                0.72192,                0.43254,                0.50901,                 0.2944,                 1.4857,                 1.0193,                 1.0074,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3412,                0.89974,                0.97729,                0.71346,                0.45403,                0.52287,                0.30408,                 1.4784,                0.96526,                 1.0134,               0.001604,               0.001604,               0.001604
                     22,                 1.3182,                 0.8691,                0.97738,                0.70409,                0.45605,                0.52542,                0.30629,                 1.4509,                0.97848,                0.99535,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3281,                0.87881,                0.98987,                 0.7502,                0.43832,                0.51728,                0.29232,                 1.4811,                  1.048,                 1.0038,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3287,                0.86646,                0.97729,                0.72729,                0.43524,                0.51394,                0.29621,                   1.49,                 1.0111,                 1.0007,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3035,                0.84133,                0.97458,                0.70401,                0.47456,                0.54039,                0.31625,                 1.4033,                 1.0143,                0.98706,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3191,                0.87613,                0.97918,                0.71546,                0.46528,                0.53169,                0.31359,                 1.4238,                0.93775,                0.99182,               0.001505,               0.001505,               0.001505
                     27,                 1.3352,                0.85924,                0.97103,                  0.699,                0.47417,                0.54175,                0.31354,                 1.4186,                0.97709,                0.98705,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2762,                0.83443,                0.96299,                0.71315,                0.45914,                0.53555,                 0.3127,                 1.4035,                0.98207,                0.99108,              0.0014654,              0.0014654,              0.0014654
                     29,                  1.284,                 0.8313,                 0.9644,                0.72187,                0.45914,                0.54249,                0.32206,                 1.4063,                0.93609,                0.98466,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2548,                0.81272,                0.96223,                0.75591,                0.46916,                0.55161,                0.32323,                 1.4103,                0.93343,                0.99249,              0.0014258,              0.0014258,              0.0014258
